districtCode,constituencyName,prefixRaw,prefix,firstName,lastName,email,ministryEmail,partyName,partyAbbreviationRaw,partyAbbreviation,roles,electionYears,isHonourable,honourableTitle,isDoctor,doctorTitle,isCounsel,counselTitle,profileUrl,imagePath,imageDescription,legOfficeRoom,legOfficePhoneRaw,legOfficePhone,legOfficeFaxRaw,legOfficeFax,legBuildingAddress,legBuildingCity,legBuildingPostalCode,conOfficeAddressRaw,conOfficeSuite,conOfficeStreet,conOfficePOBox,conOfficeCity,conOfficePostalCode,conOfficePhoneRaw,conOfficePhone,conOfficeFaxRaw,conOfficeFax,conOfficeTollFreeRaw,conOfficeTollFree,conOfficeEmail
CLR,Columbia River-Revelstoke,Mr.,Mr.,Scott,McInnis,Scott.McInnis.MLA@leg.bc.ca,,Independent,Independent,Independent,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/McInnis-Scott,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/McInnis-Scott.jpg,MLA Scott McInnis,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,362 Wallinger Ave.,,362 Wallinger Ave,,Kimberley,V1A 1Z4,2504322300,(250) 432-2300,,,,,
CQB,Coquitlam-Burke Mountain,Ms.,Ms.,Jodie,Wickens,Jodie.Wickens.MLA@leg.bc.ca,CFD.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Children and Family Development,"2016, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Wickens-Jodie,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Wickens-Jodie.jpg,MLA Jodie Wickens,Children & Family Development,2503871977,(250) 387-1977,,,Parliament Buildings,Victoria,V8V 1X4,510-2950 Glen Drive,510,2950 Glen Drive,,Coquitlam,V3B 0J1,604-942-5020,(604) 942-5020,,,,,
CQM,Coquitlam-Maillardville,Ms.,Ms.,Jennifer,Blatherwick,Jennifer.Blatherwick.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Blatherwick-Jennifer,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Blatherwick-Jennifer.jpg,MLA Jennifer Blatherwick,Parliament Buildings,,,,,Parliament Buildings,Victoria,V8V 1X4,102 - 1108 Austin Ave.,102,1108 Austin Ave,,Coquitlam,V3K 3P5,6049332001,(604) 933-2001,,,,,Jennifer.Blatherwick.MLA@leg.bc.ca
CRC,Courtenay-Comox,,Mr.,Brennan,Day,Brennan.Day.MLA@leg.bc.ca,,Independent,Independent,Independent,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Day-Brennan,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Day-Brennan.jpg,MLA Brennan Day,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,437 5th St,,437 5th St,,Courtenay,V9N 1J7,2507032410,(250) 703-2410,2507032425,(250) 703-2425,,,
CWV,Cowichan Valley,Ms.,Ms.,Qwulti'stunaat - Debra,Toporowski,Debra.Toporowski.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Toporowski-Qwulti'stunaat%20-%20Debra,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Toporowski-Debra.jpg,MLA Debra Toporowski,Parliament Buildings,,,,,Parliament Buildings,Victoria,V8V 1X4,#212 - 80 Station Street,212,80 Station Street,,Duncan,V9L 1M4,2507152792,(250) 715-2792,,,,,Debra.Toporowski.MLA@leg.bc.ca
DLN,Delta North,Mr.,Mr.,Ravi,Kahlon,Ravi.Kahlon.MLA@leg.bc.ca,HLTH.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Health,"2017, 2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Kahlon-Ravi,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Kahlon-Ravi.jpg,MLA Ravi Kahlon,"Jobs, Economic Development and Innovation",2503562771,(250) 356-2771,,,Parliament Buildings,Victoria,V8V 1X4,8350 112 Street,,8350 112 Street,,Delta,V4C 7A2,6045025449,(604) 502-5449,6045971466,(604) 597-1466,,,Ravi.Kahlon.MLA@leg.bc.ca
DLS,Delta South,Mr.,Mr.,Ian,Paton,Ian.Paton.MLA@leg.bc.ca,,Independent,Independent,Independent,,"2017, 2020, 2024",False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Paton-Ian,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Paton-Ian.jpg,MLA Ian Paton,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,4805 Delta Street,,4805 Delta Street,,Delta,V4K 2T7,6049407930,(604) 940-7930,6049407927,(604) 940-7927,,,
ESC,Esquimalt-Colwood,Ms.,Ms.,Darlene,Rotchford,Darlene.Rotchford.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Rotchford-Darlene,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Rotchford-Darlene.jpg,MLA Darlene Rotchford,Parliament Buildings,,,,,Parliament Buildings,Victoria,V8V 1X4,#104 - 1497 Admirals Road,104,1497 Admirals Road,,Victoria,V9A 2P8,250-952-5885,(250) 952-5885,,,,,Darlene.Rotchford.MLA@leg.bc.ca
FRN,Fraser-Nicola,Mr.,Mr.,Tony,Luck,Tony.Luck.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Luck-Tony,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Luck-Tony.jpeg,MLA Tony Luck,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,Units 112 & 113-1700 Garcia Street,112 & 113,1700 Garcia Street,,Merritt,V1K 1B8,236 900-4926,(236) 900-4926,,,,,Tony.Luck.MLA@leg.bc.ca
JFM,Juan de Fuca-Malahat,Mr.,Mr.,Dana,Lajeunesse,Dana.Lajeunesse.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Lajeunesse-Dana,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Lajeunesse-Dana.jpg,MLA Dana Lajeunesse,Parliament Buildings,,,,,Parliament Buildings,Victoria,V8V 1X4,A-1490 Fisher Rd,A,1490 Fisher Rd,,Cobble Hill,V8H 4A3,,,,,,,
KAC,Kamloops Centre,Mr.,Mr.,Peter,Milobar,Peter.Milobar.MLA@leg.bc.ca,,Independent,Independent,Independent,,"2017, 2020, 2024",False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Milobar-Peter,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Milobar-Peter.jpg,MLA Peter Milobar,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,446 Victoria Street,,446 Victoria Street,,Kamloops, V2C 2A7,778-471-9371,(778) 471-9371,250-554-5417,(250) 554-5417,,,
KAN,Kamloops-North Thompson,Mr.,Mr.,Ward,Stamer,Ward.Stamer.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Stamer-Ward,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Ward Stamer.PNG,MLA Ward Stamer,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,618B Tranquille Rd,,618B Tranquille Rd,,Kamloops,V2B 3H6,250-554-5416,(250) 554-5416,250-377-3448,(250) 377-3448,,,
KEC,Kelowna Centre,Ms.,Ms.,Kristina,Loewen,Kristina.Loewen.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Loewen-Kristina,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Cropped Resized_Kris_Andrew_Lowen_Large__(3)_1705686567421.JPG,MLA Kristina Loewen,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,Unit 101 - 215 Lawrence Avenue,101,215 Lawrence Avenue,,Kelowna,V1Y 6L2,236-361-0679,(236) 361-0679,,,,,Kristina.Loewen.MLA@leg.bc.ca
KLC,Kelowna-Lake Country-Coldstream,Ms.,Ms.,Tara,Armstrong,Tara.Armstrong.MLA@leg.bc.ca,,Independent,Independent,Independent,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Armstrong-Tara,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/MLA Armstrong Headshot.jpeg,MLA Tara Armstrong,Independent Offices,,,,,Parliament Buildings,Victoria,V8V 1X4,721-11850 Oceola Road,721,11850 Oceola Road,,Lake Country,V4V 2T5,250-712-3623,(250) 712-3623,,,,,
KLM,Kelowna-Mission,Mr.,Mr.,Gavin,Dew,Gavin.Dew.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Dew-Gavin,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Dew-Gavin.jpg,MLA Gavin Dew,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,#102 - 2121 Ethel Street,102,2121 Ethel Street,,Kelowna,V1Y 2Z6,2507123620,(250) 712-3620,250-712-3626,(250) 712-3626,,,
KOC,Kootenay Central,Ms.,Ms.,Brittny,Anderson,Brittny.Anderson.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,Minister of State for Local Governments and Rural Communities,"2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Anderson-Brittny,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Anderson-Brittny.jpg,MLA Brittny Anderson,Minister of State for Community Safety & Integrated Services,,,,,Parliament Buildings,Victoria,V8V 1X4,433 Josephine Street,,433 Josephine Street,,Nelson,V1L 1W4,2503545944,(250) 354-5944,,,18332566270,1-833-256-6270,
KOM,Kootenay-Monashee,Mr.,Mr.,Steve,Morissette,Steve.Morissette.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Morissette-Steve,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Morissette-Steve.jpg,MLA Steve Morissette,Parliament Buildings,,,,,Parliament Buildings,Victoria,V8V 1X4,#2 - 1006 3rd Street,2,1006 3rd Street,,Castlegar,V1N 3X6,2503042783,(250) 304-2783,,,,,Steve.Morissette.MLA@leg.bc.ca
KOR,Kootenay-Rockies,Mr.,Mr.,Pete,Davis,Pete.Davis.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Davis-Pete,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Davis-Pete.jpg,MLA Pete Davis,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,#302-535 Victoria Avenue N,302,535 Victoria Avenue N,,Cranbrook,V1C 6S3,250-417-6022,(250) 417-6022,250-417-6026,(250) 417-6026,,,
LAO,Ladysmith-Oceanside,Ms.,Ms.,Stephanie,Higginson,Stephanie.Higginson.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Higginson-Stephanie,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Higginson-Stephanie.jpg,MLA Stephanie Higginson,Parliament Buildings,,,,,Parliament Buildings,Victoria,V8V 1X4,PO Box 250 Stn Main Parksville 172 Island Hwy East,,172 Island Hwy East,PO Box 250 Stn Main,Parksville,V9P 2G4,,,,,,,
LFH,Langford-Highlands,Mr.,Mr.,Ravi,Parmar,Ravi.Parmar.MLA@leg.bc.ca,FOR.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Forests,"2023, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Parmar-Ravi,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Parmar-Ravi.jpg,MLA Ravi Parmar,Forests,2503876240,(250) 387-6240,,,Parliament Buildings,Victoria,V8V 1X4,#122-2806 Jacklin Road,122,2806 Jacklin Road,,Victoria,V9B 5A4,2503912801,(250) 391-2801,2503912804,(250) 391-2804,,,Ravi.Parmar.MLA@leg.bc.ca
LLA,Langley-Abbotsford,Mr.,Mr.,Harman,Bhangu,Harman.Bhangu.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Bhangu-Harman,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Bhangu-Harman.jpg,MLA Harman Bhangu,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,Unit A130 - 27218 Aldergrove Town Centre Drive,A130,27218 Aldergrove Town Centre Drive,,Aldergrove,V4W 0E4,604 820 6208,(604) 820-6208,,,,,Harman.Bhangu.MLA@leg.bc.ca
LWG,Langley-Walnut Grove,Ms.,Ms.,Misty,Van Popta,Misty.VanPopta.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Van%20Popta-Misty,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Van Popta-Misty.jpg,MLA Misty Van Popta,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,20349 88 Ave Unit 9,9,20349 88 Ave,,Langley Twp,V1M 2K5,604-882-3151,(604) 882-3151,,,,,
LWI,Langley-Willowbrook,Ms.,Ms.,Jody,Toor,Jody.Toor.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Toor-Jody,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Toor-Jody.jpg,MLA Jody Toor,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,Units 103 & 104 - 20611 Fraser Hwy,103 & 104,20611 Fraser Hwy,,Langley,V3A 4G4,,,,,,,
MAE,Maple Ridge East,Mr.,Mr.,Lawrence,Mok,Lawrence.Mok.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Mok-Lawrence,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Mok-Lawrence.jpg,MLA Lawrence Mok,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,#102 - 23015 Dewdney Trunk Road,102,23015 Dewdney Trunk Road,,Maple Ridge,V2X 3K9,6044764530,(604) 476-4530,6044764531,(604) 476-4531,18778993215,1-877-899-3215,Lawrence.Mok.MLA@leg.bc.ca
MAP,Maple Ridge-Pitt Meadows,Ms.,Ms.,Lisa,Beare,Lisa.Beare.MLA@leg.bc.ca,ECC.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Education and Child Care,"2017, 2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Beare-Lisa,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Beare-Lisa.jpg,MLA Lisa Beare,Education and Child Care,2503568247,(250) 356-8247,,,Parliament Buildings,Victoria,V8V 1X4,#104 - 20130 Lougheed Highway,104,20130 Lougheed Highway,,Maple Ridge,V2X 2P7,6044659299,(604) 465-9299,6044659294,(604) 465-9294,,,Lisa.Beare.MLA@leg.bc.ca
MPR,Mid Island-Pacific Rim,Ms.,Ms.,Josie,Osborne,Josie.Osborne.MLA@leg.bc.ca,FIN.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Finance,"2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Osborne-Josie,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Osborne-Josie.jpg,MLA Josie Osborne,Health,2509533547,(250) 953-3547,,,Parliament Buildings,Victoria,V8V 1X4,3945B Johnston Rd,,3945B Johnston Rd,,Port Alberni,V9Y 5N4,778-716-0472,(778) 716-0472,2507204511,(250) 720-4511,18668704190,1-866-870-4190,
NAI,Nanaimo-Gabriola Island,Ms.,Ms.,Sheila,Malcolmson,Sheila.Malcolmson.mla@leg.bc.ca,SDPR.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Social Development and Poverty Reduction,"2019, 2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Malcolmson-Sheila,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Malcolmson-Sheila.jpg,MLA Sheila Malcolmson,Social Development and Poverty Reduction,2503567750,(250) 356-7750,,,Parliament Buildings,Victoria,V8V 1X4,#105 - 495 Dunsmuir Street,105,495 Dunsmuir Street,,Nanaimo,V9R 6B9 ,2363620012,(236) 362-0012,,,,,
NAL,Nanaimo-Lantzville,Mr.,Mr.,George,Anderson,George.Anderson.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Anderson-George,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/George_Anderson_MLA Cropped.jpg,MLA George Anderson,Parliament Buildings,,,,,Parliament Buildings,Victoria,V8V 1X4,201-1934 Boxwood Road,201,1934 Boxwood Road,,Nanaimo,V9S 5Y2,250-716-5221,(250) 716-5221,,,,,
NEC,Nechako Lakes,Mr.,Mr.,John,Rustad,John.Rustad.MLA@leg.bc.ca,,Independent,Independent,Independent,,"2005, 2009, 2013, 2017, 2020, 2024",False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Rustad-John,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Rustad-John.jpg,MLA John Rustad,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,"183 1st Street, Suite 2",2,"183 1st Street,",,Vanderhoof,V0J 3A0,2505676820,(250) 567-6820,2505676822,(250) 567-6822,18779645650,1-877-964-5650,
NMC,New Westminster-Coquitlam,Ms.,Ms.,Jennifer,Whiteside,Jennifer.Whiteside.MLA@leg.bc.ca,LBR.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,Minister of Labour,"2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Whiteside-Jennifer,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Whiteside-Jennifer.jpg,MLA Jennifer Whiteside,Labour,2509530910,(250) 953-0910,,,Parliament Buildings,Victoria,V8V 1X4,335 Sixth Street,,335 Sixth Street,,New Westminster,V3L 3A9,6047752101,(604) 775-2101,,,,,Jennifer.Whiteside.MLA@leg.bc.ca
